t,h,dx,dy,X,Y,FPS
9.1013,77.00,0.00,0.00,0.00,0.00,52
9.1085,77.00,0.00,0.00,0.00,0.00,53
9.1272,77.00,0.00,0.00,0.00,0.00,53
9.1579,77.00,0.00,0.00,0.00,0.00,53
9.1708,77.00,0.00,0.00,0.00,0.00,53
9.2005,77.00,0.00,0.00,0.00,0.00,53
9.2233,77.00,0.00,0.00,0.00,0.00,53
9.2494,77.00,0.00,0.00,0.00,0.00,52
9.2664,77.00,0.00,0.00,0.00,0.00,52
9.2932,77.00,0.00,0.00,0.00,0.00,52
9.3105,77.00,0.00,0.00,0.00,0.00,52
9.3260,77.00,0.00,0.00,0.00,0.00,52
9.3557,77.00,0.00,0.00,0.00,0.00,52
9.3918,77.00,0.00,0.00,0.00,0.00,52
9.4036,77.00,0.00,0.00,0.00,0.00,52
9.4154,77.00,0.00,0.00,0.00,0.00,53
9.4309,77.00,0.00,0.00,0.00,0.00,53
9.4643,77.00,0.00,0.00,0.00,0.00,53
9.4963,77.00,0.00,0.00,0.00,0.00,52
9.5114,77.00,0.00,0.00,0.00,0.00,52
9.5264,77.00,0.00,0.00,0.00,0.00,53
9.5621,77.00,0.00,0.00,0.00,0.00,52
9.5747,77.00,0.00,0.00,0.00,0.00,53
9.6001,77.00,0.00,0.00,0.00,0.00,52
9.6184,77.00,0.00,0.00,0.00,0.00,52
9.6467,77.00,0.00,0.00,0.00,0.00,52
9.6621,77.00,0.00,0.00,0.00,0.00,52
9.6925,77.00,0.00,0.00,0.00,0.00,52
9.7108,77.00,0.00,0.00,0.00,0.00,52
9.7239,77.00,0.00,0.00,0.00,0.00,52
9.7575,77.00,0.00,0.00,0.00,0.00,52
9.7735,77.00,0.00,0.00,0.00,0.00,52
9.8034,77.00,0.00,0.00,0.00,0.00,52
9.8197,77.00,0.00,0.00,0.00,0.00,52
9.8341,77.00,0.00,0.00,0.00,0.00,52
9.8629,77.00,0.00,0.00,0.00,0.00,52
9.8803,77.00,0.00,0.00,0.00,0.00,52
9.9084,77.00,0.00,0.00,0.00,0.00,52
9.9287,77.00,0.00,0.00,0.00,0.00,52
9.9569,77.00,0.00,0.00,0.00,0.00,52
9.9730,77.00,0.00,0.00,0.00,0.00,52
9.9877,77.00,0.00,0.00,0.00,0.00,52
10.0151,77.00,0.00,0.00,0.00,0.00,52
10.0358,77.00,0.00,0.00,0.00,0.00,52
10.0634,77.00,0.00,0.00,0.00,0.00,52
10.0806,77.00,0.00,0.00,0.00,0.00,52
10.1100,77.00,0.00,0.00,0.00,0.00,52
10.1256,77.00,0.00,0.00,0.00,0.00,52
10.1539,77.00,0.00,0.00,0.00,0.00,52
10.1724,77.00,0.00,0.00,0.00,0.00,52
10.2019,77.00,0.00,0.00,0.00,0.00,51
10.2203,77.00,0.00,0.00,0.00,0.00,51
10.2323,77.00,0.00,0.00,0.00,0.00,52
10.2651,77.00,0.00,0.00,0.00,0.00,52
10.2768,77.00,0.00,0.00,0.00,0.00,52
10.3099,77.00,0.00,0.00,0.00,0.00,52
10.3263,77.00,0.00,0.00,0.00,0.00,52
10.3630,77.00,0.00,0.00,0.00,0.00,51
10.3709,77.00,0.00,0.00,0.00,0.00,52
10.4007,77.00,0.00,0.00,0.00,0.00,52
10.4219,77.00,0.00,0.00,0.00,0.00,52
10.4321,77.00,0.00,0.00,0.00,0.00,52
10.4651,77.00,0.00,0.00,0.00,0.00,52
10.4777,77.00,0.00,0.00,0.00,0.00,52
10.5077,77.00,0.00,0.00,0.00,0.00,52
10.5265,77.00,0.00,0.00,0.00,0.00,52
10.5542,77.00,0.00,0.00,0.00,0.00,52
10.5757,77.00,0.00,0.00,0.00,0.00,52
10.6005,77.00,0.00,0.00,0.00,0.00,52
10.6187,77.00,0.00,0.00,0.00,0.00,52
10.6451,77.00,0.00,0.00,0.00,0.00,52
10.6649,77.00,0.00,0.00,0.00,0.00,52
10.6784,77.00,0.00,0.00,0.00,0.00,52
10.7115,77.00,0.00,0.00,0.00,0.00,52
10.7279,77.00,0.00,0.00,0.00,0.00,52
10.7530,77.00,0.00,0.00,0.00,0.00,52
10.7697,77.00,0.00,0.00,0.00,0.00,52
10.7858,77.00,0.00,0.00,0.00,0.00,52
10.8177,77.00,0.00,0.00,0.00,0.00,52
10.8320,77.00,0.00,0.00,0.00,0.00,52
10.8687,77.00,0.00,0.00,0.00,0.00,52
10.8813,77.00,0.00,0.00,0.00,0.00,52
10.9098,77.00,0.00,0.00,0.00,0.00,52
10.9256,77.00,0.00,0.00,0.00,0.00,52
10.9531,77.00,0.00,0.00,0.00,0.00,52
10.9726,77.00,0.00,0.00,0.00,0.00,52
10.9999,77.00,0.00,0.00,0.00,0.00,52
11.0176,77.00,0.00,0.00,0.00,0.00,52
11.0486,77.00,0.00,0.00,0.00,0.00,51
11.0611,77.00,0.00,0.00,0.00,0.00,52
11.0940,77.00,0.00,0.00,0.00,0.00,51
11.1140,77.00,0.00,0.00,0.00,0.00,51
11.1276,77.00,0.00,0.00,0.00,0.00,52
11.1584,77.00,0.00,0.00,0.00,0.00,51
11.1901,77.00,0.00,0.00,0.00,0.00,51
11.2025,77.00,0.00,0.00,0.00,0.00,52
11.2177,77.00,0.00,0.00,0.00,0.00,52
11.2551,77.00,0.00,0.00,0.00,0.00,51
11.2634,77.00,0.00,0.00,0.00,0.00,52
11.2948,77.00,0.00,0.00,0.00,0.00,52
11.3099,77.00,0.00,0.00,0.00,0.00,52
11.3383,77.00,0.00,0.00,0.00,0.00,52
11.3543,77.00,0.00,0.00,0.00,0.00,52
11.3706,77.00,0.00,0.00,0.00,0.00,52
11.4033,77.00,0.00,0.00,0.00,0.00,52
11.4208,77.00,0.00,0.00,0.00,0.00,52
11.4464,77.00,0.00,0.00,0.00,0.00,52
11.4622,77.00,0.00,0.00,0.00,0.00,52
11.4998,77.00,0.00,0.00,0.00,0.00,52
11.5075,77.00,0.00,0.00,0.00,0.00,52
11.5245,77.00,0.00,0.00,0.00,0.00,52
11.5574,77.00,0.00,0.00,0.00,0.00,52
11.5853,77.00,0.00,0.00,0.00,0.00,52
11.6035,77.00,0.00,0.00,0.00,0.00,52
11.6187,77.00,0.00,0.00,0.00,0.00,52
11.6465,77.00,0.00,0.00,0.00,0.00,52
11.6761,77.00,0.00,0.00,0.00,0.00,52
11.6945,77.00,0.00,0.00,0.00,0.00,52
